num_samples,L
5600000,-146.744952332,-145.725967407
5650000,-146.67297113
5650000,-146.67297113,-145.686203003
5700000,-146.610259216
5700000,-146.610259216,-145.612197876
5750000,-146.574919464
5750000,-146.574919464,-145.518859863
5800000,-146.509631012
5800000,-146.509631012,-145.474899292
5850000,-146.440946594
5850000,-146.440946594,-145.48840332
5900000,-146.383213074
5900000,-146.383213074,-145.411529541
5950000,-146.330384949
5950000,-146.330384949,-145.338882446
6000000,-146.266742279
6000000,-146.266742279,-145.228393555
6050000,-146.209709564
6050000,-146.209709564,-145.265533447
6100000,-146.139046112
6100000,-146.139046112,-145.227615356
6150000,-146.087936279
6150000,-146.087936279,-145.181594849
6200000,-146.035594452
6200000,-146.035594452,-145.113098145
6250000,-145.984912628
6250000,-145.984912628,-145.193847656
6300000,-145.920068054
6300000,-145.920068054,-145.168746948
6350000,-145.879603149
6350000,-145.879603149,-144.948822021
6400000,-145.815125732
6400000,-145.815125732,-144.951919556
6450000,-145.774352417
6450000,-145.774352417,-144.831329346
6500000,-145.728340576
6500000,-145.728340576,-144.746627808
6550000,-145.68889447
6550000,-145.68889447,-144.694396973
6600000,-145.632125
6600000,-145.632125,-144.645202637
6650000,-145.591691589
6650000,-145.591691589,-144.651519775
6700000,-145.51933252
6700000,-145.51933252,-144.621948242
6750000,-145.473058136
6750000,-145.473058136,-144.585067749
6800000,-145.43886496
6800000,-145.43886496,-144.562591553
6850000,-145.384788635
6850000,-145.384788635,-144.476303101
6900000,-145.34744931
6900000,-145.34744931,-144.426101685
6950000,-145.287346405
6950000,-145.287346405,-144.407180786
7000000,-145.25115155
7000000,-145.25115155,-144.423080444
7050000,-145.219755432
7050000,-145.219755432,-144.2603302
7100000,-145.162089539
7100000,-145.162089539,-144.347076416
7150000,-145.110979065
7150000,-145.110979065,-144.204162598
7200000,-145.0797435
7200000,-145.0797435,-144.1612854
7250000,-145.036918213
7250000,-145.036918213,-144.178955078
7300000,-145.001077057
7300000,-145.001077057,-144.144088745
7350000,-144.963187286
7350000,-144.963187286,-144.112579346
7400000,-144.89383313
7400000,-144.89383313,-144.037582397
7450000,-144.863262329
7450000,-144.863262329,-143.993362427
7500000,-144.821118805
7500000,-144.821118805,-143.939315796
7550000,-144.766099945
7550000,-144.766099945,-143.884643555
7600000,-144.750988708
7600000,-144.750988708,-143.92300415
7650000,-144.696016663
7650000,-144.696016663,-143.993225098
7700000,-144.663995117
7700000,-144.663995117,-143.836532593
7750000,-144.619765366
7750000,-144.619765366,-143.771881104
7800000,-144.597083588
7800000,-144.597083588,-143.777832031
7850000,-144.548356659
7850000,-144.548356659,-143.72795105
7900000,-144.521461563
7900000,-144.521461563,-143.739349365
7950000,-144.462541992
7950000,-144.462541992,-143.683197021
8000000,-144.446562012
8000000,-144.446562012,-143.551696777
8050000,-144.407987762
8050000,-144.407987762,-143.614944458
8100000,-144.352933533
8100000,-144.352933533,-143.587982178
8150000,-144.338211868
8150000,-144.338211868,-143.467147827
8200000,-144.283863098
8200000,-144.283863098,-143.505889893
8250000,-144.244556976
8250000,-144.244556976,-143.535629272
8300000,-144.21383931
8300000,-144.21383931,-143.463882446
8350000,-144.17028215
8350000,-144.17028215,-143.395904541
8400000,-144.137997147
8400000,-144.137997147,-143.38482666
8450000,-144.127552063
8450000,-144.127552063,-143.311676025
8500000,-144.096935196
8500000,-144.096935196,-143.30178833
8550000,-144.043237015
8550000,-144.043237015,-143.246002197
8600000,-144.01548703
8600000,-144.01548703,-143.190185547
8650000,-143.98249025
8650000,-143.98249025,-143.22265625
8700000,-143.962384323
8700000,-143.962384323,-143.194824219
8750000,-143.903229385
8750000,-143.903229385,-143.205108643
8800000,-143.874696167
8800000,-143.874696167,-143.050857544
8850000,-143.845534897
8850000,-143.845534897,-143.068969727
8900000,-143.822165344
8900000,-143.822165344,-143.068344116
8950000,-143.792450897
8950000,-143.792450897,-143.087051392
9000000,-143.743186478
9000000,-143.743186478,-143.006835938
9050000,-143.713349945
9050000,-143.713349945,-142.991775513
9100000,-143.688060547
9100000,-143.688060547,-142.864120483
9150000,-143.653413895
9150000,-143.653413895,-142.909118652
9200000,-143.616226593
9200000,-143.616226593,-142.94078064
9250000,-143.601925217
9250000,-143.601925217,-142.826568604
9300000,-143.551269897
9300000,-143.551269897,-142.797927856
9350000,-143.515099609
9350000,-143.515099609,-142.764404297
9400000,-143.496939285
9400000,-143.496939285,-142.807907104
9450000,-143.471666946
9450000,-143.471666946,-142.733886719
9500000,-143.440366821
9500000,-143.440366821,-142.755950928
9550000,-143.40707106
9550000,-143.40707106,-142.680450439
9600000,-143.378881454
9600000,-143.378881454,-142.633865356
9650000,-143.346677353
9650000,-143.346677353,-142.674926758
9700000,-143.340981079
9700000,-143.340981079,-142.608673096
9750000,-143.298278152
9750000,-143.298278152,-142.579727173
9800000,-143.266018402
9800000,-143.266018402,-142.565841675
9850000,-143.225512085
9850000,-143.225512085,-142.496139526
9900000,-143.191889832
9900000,-143.191889832,-142.581619263
9950000,-143.188955872
9950000,-143.188955872,-142.499084473
10000000,-143.150649826
10000000,-143.150649826,-142.45513916
10050000,-143.122568619
10050000,-143.122568619,-142.46661377
10100000,-143.096218353
10100000,-143.096218353,-142.44581604
10150000,-143.071295868
10150000,-143.071295868,-142.433654785
10200000,-143.042684967
10200000,-143.042684967,-142.437469482
10250000,-143.022474152
10250000,-143.022474152,-142.317871094
10300000,-142.988605423
10300000,-142.988605423,-142.302597046
10350000,-142.961945526
10350000,-142.961945526,-142.316375732
10400000,-142.934788696
10400000,-142.934788696,-142.267822266
10450000,-142.924792435
10450000,-142.924792435,-142.270126343
10500000,-142.897852753
10500000,-142.897852753,-142.177536011
10550000,-142.844040527
10550000,-142.844040527,-142.167755127
10600000,-142.843642349
10600000,-142.843642349,-142.245117188
10650000,-142.807865494
10650000,-142.807865494,-142.232391357
10700000,-142.78172049
10700000,-142.78172049,-142.122619629
10750000,-142.74317308
10750000,-142.74317308,-142.08934021
10800000,-142.729563522
10800000,-142.729563522,-142.052368164
10850000,-142.707860306
10850000,-142.707860306,-142.074050903
10900000,-142.682953094
10900000,-142.682953094,-142.14074707
10950000,-142.668233841
10950000,-142.668233841,-142.095352173
11000000,-142.62011142
11000000,-142.62011142,-141.970169067
11050000,-142.601480469
11050000,-142.601480469,-141.958221436
11100000,-142.578743362
11100000,-142.578743362,-141.99597168
11150000,-142.565716888
11150000,-142.565716888,-141.927734375
11200000,-142.548967163
11200000,-142.548967163,-141.930145264
11250000,-142.510139832
11250000,-142.510139832,-141.926773071
11300000,-142.494635818
11300000,-142.494635818,-141.880386353
11350000,-142.471844498
11350000,-142.471844498,-141.839324951
11400000,-142.454073853
11400000,-142.454073853,-141.864578247
11450000,-142.407629562
11450000,-142.407629562,-141.798553467
11500000,-142.403733215
11500000,-142.403733215,-141.838592529
11550000,-142.378434219
11550000,-142.378434219,-141.784973145
11600000,-142.33952446
11600000,-142.33952446,-141.832885742
11650000,-142.323699631
11650000,-142.323699631,-141.738327026
11700000,-142.312032257
11700000,-142.312032257,-141.745223999
11750000,-142.2737836
11750000,-142.2737836,-141.702484131
11800000,-142.264705765
11800000,-142.264705765,-141.701705933
11850000,-142.226243225
11850000,-142.226243225,-141.68397522
11900000,-142.217108612
11900000,-142.217108612,-141.607498169
11950000,-142.187663895
11950000,-142.187663895,-141.661605835
12000000,-142.178321716
12000000,-142.178321716,-141.635894775
12050000,-142.151945892
12050000,-142.151945892,-141.531326294
12100000,-142.120594604
12100000,-142.120594604,-141.58807373
12150000,-142.096945572
12150000,-142.096945572,-141.534255981
12200000,-142.075183975
12200000,-142.075183975,-141.569412231
12250000,-142.070473938
12250000,-142.070473938,-141.514053345
12300000,-142.031464905
12300000,-142.031464905,-141.512313843
12350000,-142.031629715
12350000,-142.031629715,-141.437103271
12400000,-141.991635941
12400000,-141.991635941,-141.421951294
12450000,-141.973281189
12450000,-141.973281189,-141.432846069
12500000,-141.957447891
12500000,-141.957447891,-141.450820923
12550000,-141.919759598
12550000,-141.919759598,-141.417694092
12600000,-141.900316269
12600000,-141.900316269,-141.403518677
12650000,-141.896182449
12650000,-141.896182449,-141.356826782
12700000,-141.879607971
12700000,-141.879607971,-141.423065186
12750000,-141.854332504
12750000,-141.854332504,-141.347900391
12800000,-141.834189957
12800000,-141.834189957,-141.346710205
12850000,-141.802611145
12850000,-141.802611145,-141.262893677
12900000,-141.780420319
12900000,-141.780420319,-141.297698975
12950000,-141.77983313
12950000,-141.77983313,-141.239456177
13000000,-141.734741684
13000000,-141.734741684,-141.253143311
13050000,-141.726856659
13050000,-141.726856659,-141.270950317
13100000,-141.717914536
13100000,-141.717914536,-141.270996094
13150000,-141.683312866
13150000,-141.683312866,-141.183700562
13200000,-141.661981689
13200000,-141.661981689,-141.170394897
13250000,-141.657992004
13250000,-141.657992004,-141.146057129
13300000,-141.6398116
13300000,-141.6398116,-141.150634766
13350000,-141.60815155
13350000,-141.60815155,-141.084289551
13400000,-141.605595322
13400000,-141.605595322,-141.181625366
13450000,-141.580993439
13450000,-141.580993439,-141.123947144
13500000,-141.565355057
13500000,-141.565355057,-141.09677124
13550000,-141.534908279
13550000,-141.534908279,-141.043457031
13600000,-141.503949615
13600000,-141.503949615,-141.040435791
13650000,-141.504861923
13650000,-141.504861923,-141.024002075
13700000,-141.469211212
13700000,-141.469211212,-141.05279541
13750000,-141.450879745
13750000,-141.450879745,-141.079803467
13800000,-141.448480011
13800000,-141.448480011,-140.983154297
13850000,-141.410478134
13850000,-141.410478134,-141.070831299
13900000,-141.408125702
13900000,-141.408125702,-140.98828125
13950000,-141.376872421
13950000,-141.376872421,-140.907806396
14000000,-141.352409729
14000000,-141.352409729,-140.951431274
14050000,-141.351201508
14050000,-141.351201508,-140.981689453
14100000,-141.330828995
14100000,-141.330828995,-140.875900269
14150000,-141.318987579
14150000,-141.318987579,-140.841644287
14200000,-141.280786514
14200000,-141.280786514,-140.925247192
14250000,-141.255981247
14250000,-141.255981247,-140.934631348
14300000,-141.259930679
14300000,-141.259930679,-140.823684692
14350000,-141.232588867
14350000,-141.232588867,-140.800064087
14400000,-141.217819611
14400000,-141.217819611,-140.866195679
14450000,-141.179274521
14450000,-141.179274521,-140.928604126
14500000,-141.198979706
14500000,-141.198979706,-140.789932251
14550000,-141.155395996
14550000,-141.155395996,-140.743743896
14600000,-141.148656433
14600000,-141.148656433,-140.741516113
14650000,-141.138737366
14650000,-141.138737366,-140.68397522
14700000,-141.105206329
14700000,-141.105206329,-140.698822021
14750000,-141.089346161
14750000,-141.089346161,-140.648529053
14800000,-141.075498199
14800000,-141.075498199,-140.687728882
14850000,-141.060862976
14850000,-141.060862976,-140.671051025
14900000,-141.041651672
14900000,-141.041651672,-140.688919067
14950000,-141.015776382
14950000,-141.015776382,-140.679428101
15000000,-141.014283081
15000000,-141.014283081,-140.592056274
15050000,-140.983705597
15050000,-140.983705597,-140.655319214
15100000,-140.981636276
15100000,-140.981636276,-140.615859985
15150000,-140.959726974
15150000,-140.959726974,-140.588989258
15200000,-140.948997513
15200000,-140.948997513,-140.587844849
15250000,-140.935934952
15250000,-140.935934952,-140.608917236
15300000,-140.906015503
15300000,-140.906015503,-140.56703186
15350000,-140.8991689
15350000,-140.8991689,-140.548416138
15400000,-140.866576736
15400000,-140.866576736,-140.541931152
15450000,-140.868560608
15450000,-140.868560608,-140.504821777
15500000,-140.849780441
15500000,-140.849780441,-140.5415802
15550000,-140.823016388
15550000,-140.823016388,-140.469848633
15600000,-140.806376648
15600000,-140.806376648,-140.487304688
15650000,-140.790721512
15650000,-140.790721512,-140.446594238
15700000,-140.787349945
15700000,-140.787349945,-140.459823608
15750000,-140.774133606
15750000,-140.774133606,-140.468200684
15800000,-140.748284622
15800000,-140.748284622,-140.416244507
15850000,-140.726631683
15850000,-140.726631683,-140.40562439
15900000,-140.729837158
15900000,-140.729837158,-140.358932495
15950000,-140.701281555
15950000,-140.701281555,-140.354995728
16000000,-140.689938919
16000000,-140.689938919,-140.367279053
16050000,-140.685528732
16050000,-140.685528732,-140.32711792
16100000,-140.647754715
16100000,-140.647754715,-140.304595947
16150000,-140.632928848
16150000,-140.632928848,-140.344451904
16200000,-140.624799286
16200000,-140.624799286,-140.286254883
16250000,-140.619822174
16250000,-140.619822174,-140.317749023
16300000,-140.584617386
16300000,-140.584617386,-140.247802734
16350000,-140.575843063
16350000,-140.575843063,-140.307098389
16400000,-140.551031204
16400000,-140.551031204,-140.279296875
16450000,-140.555950928
16450000,-140.555950928,-140.26675415
16500000,-140.534340729
16500000,-140.534340729,-140.277755737
16550000,-140.525683426
16550000,-140.525683426,-140.230743408
16600000,-140.500160614
16600000,-140.500160614,-140.189041138
16650000,-140.495125183
16650000,-140.495125183,-140.134216309
16700000,-140.485091049
16700000,-140.485091049,-140.17010498
16750000,-140.467927948
16750000,-140.467927948,-140.142852783
16800000,-140.454458496
16800000,-140.454458496,-140.145828247
16850000,-140.430439423
16850000,-140.430439423,-140.133377075
16900000,-140.417638321
16900000,-140.417638321,-140.16545105
16950000,-140.395241638
16950000,-140.395241638,-140.104309082
17000000,-140.379458405
17000000,-140.379458405,-140.150177002
17050000,-140.363454483
17050000,-140.363454483,-140.11932373
17100000,-140.334900345
17100000,-140.334900345,-140.101287842
17150000,-140.347355103
17150000,-140.347355103,-140.069244385
17200000,-140.334275696
17200000,-140.334275696,-140.078781128
17250000,-140.317171509
17250000,-140.317171509,-139.995773315
17300000,-140.303555862
17300000,-140.303555862,-140.002822876
17350000,-140.27817836
17350000,-140.27817836,-140.057022095
17400000,-140.257831116
17400000,-140.257831116,-140.054397583
17450000,-140.242681427
17450000,-140.242681427,-140.026046753
17500000,-140.229460724
17500000,-140.229460724,-139.998336792
17550000,-140.230608017
17550000,-140.230608017,-139.945281982
17600000,-140.198431213
17600000,-140.198431213,-139.99029541
17650000,-140.190184479
17650000,-140.190184479,-139.989822388
17700000,-140.18460582
17700000,-140.18460582,-139.930847168
50000,-192.092185455,-178.920730591
100000,-179.006962128,-175.313751221
150000,-174.549866211,-171.217269897
200000,-172.123911407,-170.185699463
250000,-170.586645477,-168.992614746
300000,-169.663539154,-168.345779419
350000,-169.125330933,-168.150848389
400000,-168.925840637,-168.038406372
450000,-168.684350006,-167.91053772
500000,-168.544371338,-167.882080078
550000,-168.419786499,-167.797302246
600000,-168.29917337,-167.535507202
650000,-168.196005981,-167.421676636
700000,-168.040028015,-167.18522644
750000,-167.868934967,-167.176330566
800000,-167.670271118,-166.853225708
850000,-167.405521729,-166.515106201
900000,-167.102614136,-166.162521362
950000,-166.748548035,-165.75743103
1000000,-166.368938263,-165.492141724
1050000,-165.960907227,-165.153518677
1100000,-165.580318604,-164.726455688
1150000,-165.175764496,-164.221740723
1200000,-164.811370148,-163.87562561
1250000,-164.428323914,-163.486755371
1300000,-164.05934671,-163.179138184
1350000,-163.708510803,-162.802642822
1400000,-163.344617584,-162.397140503
1450000,-162.973394196,-162.026550293
1500000,-162.624190948,-161.637207031
1550000,-162.235749146,-161.203155518
1600000,-161.875967163,-160.91859436
1650000,-161.497294678,-160.499298096
1700000,-161.120766235,-160.162368774
1750000,-160.760113281,-159.781463623
1800000,-160.378089264,-159.490844727
1850000,-160.009178162,-159.046844482
1900000,-159.647609985,-158.687225342
