num_samples,L,Lvalid
27900000,-141.96509705,-141.118189273
27950000,-141.976144145,-141.083810932
28000000,-141.957193372,-141.183339257
28050000,-141.945852862,-141.087290479
28100000,-141.945090159,-141.069801948
28150000,-141.940006126,-141.124844229
28200000,-141.935554268,-141.127619025
28250000,-141.942159486,-141.122156027
28300000,-141.929450741,-141.118314508
28350000,-141.93365384,-141.092128722
28400000,-141.915358712,-141.068337132
28450000,-141.905413896,-141.031430576
28500000,-141.90804326,-141.073597316
28550000,-141.907476214,-141.081060609
28600000,-141.885181318,-141.035750976
28650000,-141.912217655,-141.012138273
28700000,-141.876255908,-141.019335086
28750000,-141.882264404,-140.99629998
28800000,-141.874006942,-141.06523144
28850000,-141.863251407,-140.965299386
28900000,-141.88448641,-141.043305313
28950000,-141.853996765,-141.04747514
29000000,-141.841793363,-140.972645145
29050000,-141.839429353,-141.022123186
29100000,-141.849912903,-141.005560389
29150000,-141.827665973,-141.064990281
29200000,-141.838871318,-140.998039923
29250000,-141.832223501,-140.959230967
29300000,-141.826530754,-140.955713403
29350000,-141.821398057,-141.045032674
29400000,-141.808733533,-141.001844198
29450000,-141.807848653,-140.985226435
29500000,-141.810631609,-140.985808613
29550000,-141.796262406,-140.952592582
29600000,-141.802345572,-140.958500377
29650000,-141.795763551,-141.005285674
29700000,-141.788205141,-140.963527584
29750000,-141.773607594,-140.956989757
29800000,-141.766342226,-140.929458766
29850000,-141.766186236,-140.970663967
29900000,-141.773842355,-140.94956886
29950000,-141.746951775,-140.936784269
30000000,-141.757200931,-140.926456728
30050000,-141.757688059,-140.896125992
30100000,-141.736087337,-140.976994885
30150000,-141.744895907,-140.902944239
30200000,-141.748758808,-140.914511514
30250000,-141.748951303,-140.961534105
30300000,-141.739605067,-140.916189863
30350000,-141.721371361,-140.929116007
30400000,-141.716840423,-140.887098321
30450000,-141.711767242,-140.949010745
30500000,-141.706598546,-140.941090259
30550000,-141.683587995,-140.886660131
30600000,-141.699253783,-140.874562058
30650000,-141.703235961,-140.884415215
30700000,-141.678553344,-140.882791735
30750000,-141.693151702,-140.869554149
30800000,-141.68483603,-140.886387282
30850000,-141.681548684,-140.921768495
30900000,-141.682540355,-140.810222062
30950000,-141.664063029,-140.874042098
31000000,-141.656351788,-140.84026449
31050000,-141.666106879,-140.881714994
31100000,-141.669019174,-140.84748222
31150000,-141.642273944,-140.80947704
31200000,-141.657733177,-140.813734252
31250000,-141.640342609,-140.84367544
31300000,-141.628225005,-140.809534095
31350000,-141.641876555,-140.845923443
31400000,-141.628914233,-140.820186414
31450000,-141.622693705,-140.770315374
31500000,-141.617774246,-140.818882047
31550000,-141.59855306,-140.895078981
31600000,-141.614237546,-140.812943431
31650000,-141.607084553,-140.813667621
31700000,-141.608210796,-140.900763235
31750000,-141.590778583,-140.761681832
31800000,-141.590311397,-140.805021319
31850000,-141.591704732,-140.825141485
31900000,-141.56809867,-140.749904237
31950000,-141.576925347,-140.77680226
32000000,-141.577168394,-140.727761011
32050000,-141.563273432,-140.732794121
32100000,-141.563514461,-140.796743594
32150000,-141.549074138,-140.760292627
32200000,-141.560853376,-140.784117473
32250000,-141.563633422,-140.715184402
32300000,-141.551953782,-140.787331184
32350000,-141.54973557,-140.748947272
32400000,-141.550847806,-140.807382911
32450000,-141.541639502,-140.753551849
32500000,-141.523210668,-140.705722013
32550000,-141.53468358,-140.69234404
32600000,-141.520654517,-140.731912409
32650000,-141.514133697,-140.716689889
32700000,-141.518096317,-140.680199917
32750000,-141.516275885,-140.707210651
32800000,-141.493026363,-140.710210931
32850000,-141.493219951,-140.656963983
32900000,-141.488615787,-140.695520024
32950000,-141.50112022,-140.690568068
33000000,-141.499956297,-140.709358648
33050000,-141.485109095,-140.702682138
33100000,-141.475442207,-140.661572652
33150000,-141.470406384,-140.746805219
33200000,-141.468309327,-140.667422358
33250000,-141.455205641,-140.66554389
33300000,-141.453740517,-140.677294238
33350000,-141.458211022,-140.639880567
33400000,-141.464810437,-140.735568478
33450000,-141.450143364,-140.739956274
33500000,-141.443850526,-140.631203199
33550000,-141.445611122,-140.6448957
33600000,-141.436336958,-140.652600426
33650000,-141.427925817,-140.662524087
33700000,-141.434357726,-140.682349055
33750000,-141.432319717,-140.589574931
33800000,-141.417918823,-140.645061231
33850000,-141.426397878,-140.642013062
33900000,-141.413416368,-140.589079995
33950000,-141.406490701,-140.589552275
34000000,-141.398298147,-140.574085359
34050000,-141.409263418,-140.634443848
34100000,-141.39504898,-140.606356692
34150000,-141.395167184,-140.61264257
34200000,-141.394616241,-140.584707692
34250000,-141.387480099,-140.614010206
34300000,-141.390925872,-140.558665291
34350000,-141.373356748,-140.625051639
34400000,-141.373763911,-140.597547723
34450000,-141.373869483,-140.586475734
34500000,-141.369722642,-140.559067186
34550000,-141.357667934,-140.584820293
34600000,-141.361355819,-140.567595393
34650000,-141.353929977,-140.58492975
34700000,-141.360757024,-140.625641893
34750000,-141.340688902,-140.58715027
34800000,-141.349520096,-140.632101343
34850000,-141.346936252,-140.585766574
34900000,-141.348809886,-140.539975694
34950000,-141.345093368,-140.523447844
35000000,-141.329025999,-140.553917203
35050000,-141.322994337,-140.558938199
35100000,-141.311940737,-140.532982194
35150000,-141.321811616,-140.548514507
35200000,-141.314335117,-140.524648719
35250000,-141.309683349,-140.53089532
35300000,-141.301654926,-140.572389606
35350000,-141.304629944,-140.558178791
35400000,-141.294489887,-140.512613826
35450000,-141.299805096,-140.536461171
35500000,-141.300963223,-140.52767154
35550000,-141.281186108,-140.480795403
35600000,-141.276933252,-140.495929664
35650000,-141.29357737,-140.579482407
35700000,-141.272563338,-140.498111263
35750000,-141.287069377,-140.493919442
35800000,-141.278139255,-140.504793868
35850000,-141.262423523,-140.532616454
35900000,-141.267864373,-140.467136969
35950000,-141.270072613,-140.468275854
36000000,-141.26093596,-140.523997553
36050000,-141.259437104,-140.504537657
36100000,-141.255977822,-140.447599052
36150000,-141.257489118,-140.510481241
36200000,-141.243258974,-140.506222037
36250000,-141.230629084,-140.544203667
36300000,-141.245953536,-140.459345826
36350000,-141.225267618,-140.50785688
36400000,-141.224223364,-140.46121861
36450000,-141.230896991,-140.439003755
36500000,-141.221325553,-140.535175368
36550000,-141.202708634,-140.448808186
36600000,-141.210250288,-140.369364735
36650000,-141.206883634,-140.41287623
36700000,-141.217717513,-140.419087763
36750000,-141.213965931,-140.486836937
36800000,-141.192281217,-140.509619612
36850000,-141.211656006,-140.41120339
36900000,-141.196510957,-140.458074885
36950000,-141.190949525,-140.428322298
37000000,-141.180027742,-140.435900819
37050000,-141.186702718,-140.403548104
37100000,-141.181637473,-140.461979894
37150000,-141.169524738,-140.480767123
37200000,-141.173272141,-140.402622252
37250000,-141.173817673,-140.394468002
37300000,-141.157347648,-140.400721021
37350000,-141.157284762,-140.376882209
37400000,-141.150883585,-140.437733945
37450000,-141.165894843,-140.464517836
37500000,-141.140963609,-140.420971101
37550000,-141.149239389,-140.362364109
37600000,-141.132295172,-140.370085753
37650000,-141.137056452,-140.365798982
37700000,-141.142474576,-140.406824954
37750000,-141.117865038,-140.36759937
37800000,-141.134023974,-140.369381986
37850000,-141.127520746,-140.407467634
37900000,-141.136705084,-140.385109875
37950000,-141.118793315,-140.389642047
38000000,-141.114796621,-140.427293339
38050000,-141.104961134,-140.378283607
38100000,-141.123020313,-140.359229322
38150000,-141.115087036,-140.329453666
38200000,-141.10811939,-140.318750661
38250000,-141.11292547,-140.359493904
38300000,-141.092304533,-140.365854901
38350000,-141.089986855,-140.349757712
38400000,-141.087127587,-140.381104712
38450000,-141.098377549,-140.41230382
38500000,-141.092039886,-140.390327595
38550000,-141.089506909,-140.30789082
38600000,-141.077719663,-140.389969099
38650000,-141.077089769,-140.33019614
38700000,-141.072733706,-140.318180549
38750000,-141.06997682,-140.295528644
